,date,burn_type,burn_number,length,power,factor_before,factor_after,dead_before,dead_after,dir,result
0,15-03-2022 15.17.28,pixel-burn4,0,50.0000,7.0000,0.7687756619572597,0.83040545839542,0.0334125,0.04368125,1,SUCCESS
1,15-03-2022 15.18.31,pixel-burn4,1,50.0000,6.7500,0.83040545839542,0.9519351164970963,0.04368125,0.0066875,1,SUCCESS
2,15-03-2022 15.19.34,none,2,-,-,0.9519351164970963,-,0.0066875,-,1,SUCCESS
3,15-03-2022 15.14.10,pixel-burn4,0,50.0000,7.0000,0.5803437797632546,0.7712532177034276,0.0353625,0.0458125,-1,SUCCESS
4,15-03-2022 15.15.13,pixel-burn4,1,50.0000,6.7500,0.7712532177034276,0.2588586146129863,0.0458125,0.07788125,-1,SUCCESS
5,15-03-2022 15.16.16,pixel-burn4,2,50.0000,6.5000,0.2588586146129863,0.061750774808490734,0.07788125,0.038075,-1,SUCCESS
6,15-03-2022 15.17.20,none,3,-,-,0.061750774808490734,-,0.038075,-,-1,SUCCESS
7,15-03-2022 16.54.16,shining-moon3,0,40.0000,6.7500,0.7025065041353659,0.6260740022172949,0.0607,0.09800625,-1,SUCCESS
8,15-03-2022 16.55.20,shining-moon3,1,40.0000,6.5000,0.6260740022172949,0.36820654035318456,0.09800625,0.08759375,-1,SUCCESS
9,15-03-2022 16.56.24,shining-moon3,2,40.0000,6.2500,0.36820654035318456,0.17333155276600007,0.08759375,0.063975,-1,SUCCESS
10,15-03-2022 16.57.29,shining-moon3,3,40.0000,6.0000,0.17333155276600007,0.05800855175621036,0.063975,0.03236875,-1,SUCCESS
11,15-03-2022 16.58.33,none,4,-,-,0.05800855175621036,-,0.03236875,-,-1,SUCCESS
12,15-03-2022 15.44.33,pixel-burn4,0,50.0000,7.0000,0.33826276666623123,0.1483518244338903,0.04316875,0.024875,-1,SUCCESS
13,15-03-2022 15.45.36,shining-moon3,1,40.0000,7.0000,0.1483518244338903,0.010172153807489318,0.024875,0.00525625,-1,SUCCESS
14,15-03-2022 15.46.39,none,2,-,-,0.010172153807489318,-,0.00525625,-,-1,SUCCESS
15,15-03-2022 15.20.57,pixel-burn4,0,50.0000,7.0000,0.48731453571265815,0.2700555027365933,0.04,0.02708125,-1,SUCCESS
16,15-03-2022 15.22.00,pixel-burn4,1,50.0000,6.7500,0.2700555027365933,0.4575094478029355,0.02708125,0.04575,-1,SUCCESS
17,15-03-2022 15.23.03,pixel-burn4,2,50.0000,6.5000,0.4575094478029355,0.09052222372898867,0.04575,0.03215,-1,SUCCESS
18,15-03-2022 15.24.06,none,3,-,-,0.09052222372898867,-,0.03215,-,-1,SUCCESS
19,15-03-2022 15.24.14,pixel-burn4,0,50.0000,7.0000,0.5493560591584821,0.4440185925140667,0.01874375,0.08028125,1,FAILED
20,15-03-2022 15.25.17,pixel-burn4,1,50.0000,6.7500,0.4440185925140667,0.4739488639975589,0.08028125,0.01684375,1,FAILED
21,15-03-2022 15.26.20,pixel-burn4,2,50.0000,6.5000,0.4739488639975589,0.11406637668167097,0.01684375,0.0100125,1,FAILED
22,15-03-2022 15.27.23,shining-moon3,3,40.0000,6.5000,0.11406637668167097,0.29012468603657715,0.0100125,0.0270625,1,FAILED
23,15-03-2022 15.28.26,pixel-burn4,4,50.0000,6.0000,0.29012468603657715,0.42579019697663767,0.0270625,0.04494375,1,FAILED
24,15-03-2022 15.29.29,pixel-burn4,5,50.0000,6.0000,0.42579019697663767,0.4107004309642254,0.04494375,0.0414,1,FAILED
25,15-03-2022 15.30.33,pixel-burn4,6,50.0000,6.0000,0.4107004309642254,0.5702456564841886,0.0414,0.0701,1,FAILED
26,15-03-2022 15.31.36,pixel-burn4,7,50.0000,6.0000,0.5702456564841886,0.6093250833466735,0.0701,0.102025,1,FAILED
27,15-03-2022 15.32.39,pixel-burn4,8,50.0000,6.0000,0.6093250833466735,0.49295217917197,0.102025,0.209425,1,FAILED
28,15-03-2022 15.33.42,pixel-burn4,9,50.0000,6.0000,0.49295217917197,0.5039543057996485,0.209425,0.21763125,1,FAILED
29,15-03-2022 15.34.45,shining-moon3,10,40.0000,6.0000,0.5039543057996485,0.46828560079987946,0.21763125,0.08736875,1,FAILED
30,15-03-2022 15.35.48,pixel-burn4,11,50.0000,6.0000,0.46828560079987946,0.42347338095951775,0.08736875,0.24936875,1,FAILED
31,15-03-2022 15.36.51,pixel-burn4,12,50.0000,6.0000,0.42347338095951775,0.4904774461352637,0.24936875,0.2652375,1,FAILED
32,15-03-2022 15.37.55,pixel-burn4,13,50.0000,6.0000,0.4904774461352637,0.5019295195284339,0.2652375,0.2631,1,FAILED
33,15-03-2022 15.38.58,pixel-burn4,14,50.0000,6.0000,0.5019295195284339,0.44645869264446675,0.2631,0.34046875,1,FAILED
34,15-03-2022 15.40.02,pixel-burn4,15,50.0000,6.0000,0.44645869264446675,0.6837471190004448,0.34046875,0.38173125,1,FAILED
35,15-03-2022 15.41.05,none,16,-,-,0.6837471190004448,-,0.38173125,-,1,FAILED
36,15-03-2022 15.41.12,shining-moon3,0,40.0000,7.2500,0.5641895661190924,0.3280103976853394,0.0477,0.0430625,-1,SUCCESS
37,15-03-2022 15.42.15,pixel-burn4,1,50.0000,6.7500,0.3280103976853394,0.1884792946867836,0.0430625,0.010375,-1,SUCCESS
38,15-03-2022 15.43.19,shining-moon3,2,40.0000,6.7500,0.1884792946867836,0.052939249628341775,0.010375,0.00783125,-1,SUCCESS
39,15-03-2022 15.44.22,none,3,-,-,0.052939249628341775,-,0.00783125,-,-1,SUCCESS
40,15-03-2022 15.46.47,pixel-burn4,0,50.0000,7.0000,0.1572235704776646,0.2861036576754696,0.0188,0.11488125,1,FAILED
41,15-03-2022 15.47.51,pixel-burn4,1,50.0000,6.7500,0.2861036576754696,0.20807788689911474,0.11488125,0.044775,1,FAILED
42,15-03-2022 15.48.54,pixel-burn4,2,50.0000,6.5000,0.20807788689911474,0.7161286050130791,0.044775,0.056225,1,FAILED
43,15-03-2022 15.49.59,pixel-burn4,3,50.0000,6.2500,0.7161286050130791,0.6235639520040848,0.056225,0.06971875,1,FAILED
44,15-03-2022 15.51.02,pixel-burn4,4,50.0000,5.5000,0.6235639520040848,0.5769157018454478,0.06971875,0.054775,1,FAILED
45,15-03-2022 15.52.05,pixel-burn4,5,50.0000,5.2500,0.5769157018454478,0.5183140629023845,0.054775,0.0535,1,FAILED
46,15-03-2022 15.53.09,shining-moon3,6,40.0000,5.5000,0.5183140629023845,0.6262112114102412,0.0535,0.05699375,1,FAILED
47,15-03-2022 15.54.12,pixel-burn4,7,50.0000,5.2500,0.6262112114102412,0.3761857787627361,0.05699375,0.07498125,1,FAILED
48,15-03-2022 15.55.15,pixel-burn4,8,50.0000,5.2500,0.3761857787627361,0.30598093036694596,0.07498125,0.113125,1,FAILED
49,15-03-2022 15.56.19,pixel-burn4,9,50.0000,5.2500,0.30598093036694596,0.3350600271577087,0.113125,0.1300875,1,FAILED
50,15-03-2022 15.57.22,shining-moon3,10,40.0000,5.5000,0.3350600271577087,0.2564632814163913,0.1300875,0.0903,1,FAILED
51,15-03-2022 15.58.26,pixel-burn4,11,50.0000,5.2500,0.2564632814163913,0.3763565750789445,0.0903,0.1390375,1,FAILED
52,15-03-2022 15.59.29,pixel-burn4,12,50.0000,5.2500,0.3763565750789445,0.32901962835389315,0.1390375,0.163525,1,FAILED
53,15-03-2022 16.00.32,pixel-burn4,13,50.0000,5.2500,0.32901962835389315,0.350226947061696,0.163525,0.2192625,1,FAILED
54,15-03-2022 16.01.36,pixel-burn4,14,50.0000,5.2500,0.350226947061696,0.38644607329842934,0.2192625,0.2539125,1,FAILED
55,15-03-2022 16.02.39,shining-moon3,15,40.0000,5.5000,0.38644607329842934,0.2765189782075336,0.2539125,0.1771875,1,FAILED
56,15-03-2022 16.03.42,pixel-burn4,16,50.0000,5.2500,0.2765189782075336,0.2571016367344908,0.1771875,0.24621875,1,FAILED
57,15-03-2022 16.04.46,pixel-burn4,17,50.0000,5.2500,0.2571016367344908,0.3911337209302326,0.24621875,0.26900625,1,FAILED
58,15-03-2022 16.05.49,shining-moon3,18,40.0000,5.5000,0.3911337209302326,0.34924151334969444,0.26900625,0.24109375,1,FAILED
59,15-03-2022 16.06.52,shining-moon3,19,40.0000,5.5000,0.34924151334969444,0.4900600411195662,0.24109375,0.2369875,1,FAILED
60,15-03-2022 16.07.56,shining-moon3,20,40.0000,5.5000,0.4900600411195662,0.5100029168024982,0.2369875,0.27146875,1,FAILED
61,15-03-2022 16.08.59,shining-moon3,21,40.0000,5.5000,0.5100029168024982,0.1572235704776646,0.27146875,0.0188,1,FAILED
62,15-03-2022 15.46.47,pixel-burn4,22,50.0000,7.0000,0.1572235704776646,0.3846056198826698,0.0188,0.3107125,1,FAILED
63,15-03-2022 16.11.06,shining-moon3,23,40.0000,5.5000,0.3846056198826698,0.15524193548387097,0.3107125,0.30870625,1,FAILED
64,15-03-2022 16.12.09,shining-moon3,24,40.0000,5.5000,0.15524193548387097,0.18439489864803227,0.30870625,0.31489375,1,FAILED
65,15-03-2022 16.13.12,shining-moon3,25,40.0000,5.5000,0.18439489864803227,0.1859454557477399,0.31489375,0.3383875,1,FAILED
66,15-03-2022 16.14.15,shining-moon3,26,40.0000,5.5000,0.1859454557477399,0.2544819143895119,0.3383875,0.36690625,1,FAILED
67,15-03-2022 16.15.19,shining-moon3,27,40.0000,5.5000,0.2544819143895119,0.25259670305099907,0.36690625,0.38504375,1,FAILED
68,15-03-2022 16.16.22,none,28,-,-,0.25259670305099907,-,0.38504375,-,1,FAILED
69,15-03-2022 16.58.41,pixel-burn4,0,50.0000,6.5000,0.4169481117592877,0.5227351776541096,0.0432625,0.06560625,1,SUCCESS
70,15-03-2022 16.59.46,pixel-burn4,1,50.0000,6.3000,0.5227351776541096,0.756924707674981,0.06560625,0.0566,1,SUCCESS
71,15-03-2022 17.00.49,shining-moon3,2,40.0000,6.2500,0.756924707674981,0.7611454354346656,0.0566,0.02483125,1,SUCCESS
72,15-03-2022 17.01.54,shining-moon3,3,40.0000,6.0000,0.7611454354346656,0.9568668592121645,0.02483125,0.0110625,1,SUCCESS
73,15-03-2022 17.02.58,none,4,-,-,0.9568668592121645,-,0.0110625,-,1,SUCCESS
